text,sentiment,category,keyword
"무슨 광고를 하냐 국민연금 미치겄다
투자비율 정부 압박에 따라 국내주식 비중 늘린거 맞냐? 아니 비밀리에 샤부작 샤부작 해서 국민들이 뭘 믿고 맡기냐 해외주식 국내주식 책권 어디에 투자하고 있는지 지나고 난 다음에는 분기별로. 밝혀야 하는거아니냐?",부정,정부개입·거버넌스,투자비율
나도 저렇게 시드좀줘봐 세력될수있으니까,중립,기타,시드
마인드가 독립운동가의 후손이신거 같네요. 40대 워킹맘으로 국민연금이 차곡차곡 쌓여감에 감사하고 있습니다. 자라나는 아이들도 성인되면 가입할 수 있는 마음이 우러나도록 말씀해주신 것 처럼 연금이 고갈되지않고 믿고 맡길 수 있는 든든한 국민의 연금이 되길 바랍니다!~,긍정,연금제도,감사
ㅋㅋ이러다 분기 마이너스만 뉴수나와도 지랄지랄 하는 화가잔뜩쌓인 놈들이 때거지로 욕할거야 왜케 삐뚤어졋는지,부정,운용성과,마이너스
도박도 그렇듯이 원래 시드 많은놈이 더 버는법임,부정,기타,도박
국민연금 내부정보로 엄청난 수익봤겠지,부정,운용성과,내부정보
국민연금이 세력질하는건데 그걸 어떻게 이기냐? 국민연금의 수익은 개미들을 턴것이다.,부정,운용성과,세력질
"5:16 와우 ㄹㅈㄷ
여기가 세력이었네...",중립,기타,일반 잡담
"이사장님 마지막 말씀 감동적이고
가슴이  뭉클합니다
건강하세요~❤",긍정,국민연금 조직,응원
"외국인 근로자들도 국민연금에 가입하는 줄 몰랐네요. 10년 가입기간을 채우면 연금수급자격까지 생긴다니...
한국국민을 위한 국민연금이어야 하지 않나요?",중립,연금제도,가입
"국민연금 받을 나이에 죽은 어느 가장이 있더군요. 
수십년을 냈지만 모두 국고가 됐지요.

처는 없고 자녀 셋은 다 컸으니깐요.
법을 개정해서 유족에게 다 돌려주세요.

국민연금 광고하는 낙하산 인사가 아니라 
비합리적인 면을 연구한 사람을 초대해주세요.",부정,연금제도,법 개정
"근데 선진국의 복지 시스템으로 만들어 나가는게 목표라고 하셨는데 그 선진국, 즉 유럽국가들이 지금 세대간의 복지 불평등화로 인해 연금시스템은 잘못 만들어졌다. 이런식으로 많은 비판이 나오는 상황에 대해 어떻게 생각하시는지 궁금하네요",중립,세대형평,복지 불평등
이분은 능력도 있고 사명감도 있어보입니다 공무원같지 안고,긍정,국민연금 조직,능력
"4대보험중 가장 불합리한게 건강보험임
고소득자는 그많큼 퍼센트로 떼어가는데 혜택은 저소득자가 다 챙겨가는 구조임.
차라리 국민연금으로 소득만큼 떼어가는건 찬성 그만큼 65세때 낸만큼 돌아오는데 건강보험은 그딴거 없음
너무 불합리함!!",부정,세대형평,불합리
국민연금으로 주식투기판 만든걸 자랑이라고... 내참.. 어쩌다 나라가 이지경이 됬나.. 저런 뻔뻔함이 내참... 저러다 주식 꼬꾸라지면 다 니책임이겠네.. 으이구.,부정,운용성과,투기
주식으로 매년 수익률을 올린다는게 쉽지 않는데 대단하다고 생각합니다. 다만 20~30대에 20년 30년 납부한다고 하면 그 금액이 장기적으로 봤을 때 돈의 가치가 20~30년전이랑 같은가 의문입니다.,중립,운용성과,수익률
정권에서만 안 걸들면 아무 문제 없다. 국힘만 집권하면 빼 돌려 쓰기 바쁨. 나를 위해서 자손을 위해서 거기만은 찍지 말자.,부정,정부개입·거버넌스,정권 비판
"국민연금 본사 옆동네 살고 있어서  국민연금 옆 공원 따라서 산책 자주 하거든요 . ( 그 공원 따라가면 기지제라는 곳 나오는데 산책으로 그만이에요. 연꽃 필때 놀러오세요^^.;) 토요일이든 일요일이든, 공휴일이든 건물에  불이 켜져있어요. 옆친구와 그 광경보면서  ' 저기는 쉬지도 않나봐.'라고 자주 이야기 합니다. 평일, 공휴일 안가리고 밤에도 항상   불이 반짝반짝해요. 제가 퇴근을 걱정할 정도 입니다..",중립,기타,산책
정말 도움되는 내용입니다~~,긍정,기타,도움
내 퇴직연금 건들지마라,부정,퇴직연금,퇴직연금
"24년도 윤석열이 국민연금의 연기금운영 개혁으로 세계적인 수익 기반을 만들어 놓을걸 이재명의 특기인 남의 공 가로채기로 따먹은거지.
원전.방산.반도체도 윤석열이 만들어 놓은 기반을 바탕으로 성과를 내고 있는거지",부정,연금제도,개혁
일단 퇴직연금 기금화는 사유재산제도 침해입니다.,부정,연금제도,기금화
이제는 퇴직금까지 가져가려고하네ㅋㅋㅋ,부정,연금제도,퇴직금
전주사람으로서 참 말씀잘하시네요  말씀 잘하시는분 보기 힘들었어요,긍정,국민연금 조직,칭찬
추가금을 제외하면 결국 1500조도 28년후에 고갈이네..?,부정,연금제도,고갈
납부하기 싫다니까 일찍 납부하라고 돈 주는걸로 생색내네 ㅋㅋ,부정,연금제도,납부
"ㅋㅋㅋㅋㅋㅋㅋㅋ여러분 오해하시면 안됩니다  이분 정치인입니다. 누가 보면 능력있는 펀드매니저가 나라 위해서 싼값에 일하는 건 줄 알겠네요.... 이분 국회의원 출신이고, 재선 실패 후 문재인정부에서 정치인 최초로 이사장으로 앉힌거에요. 기금 운용 관련 경험 없습니다 ㅋㅋ 그래서 그 당시에 낙하산이라고 욕 많이 먹었어요 ㅎㅎ 2년 조금 넘게 하시다가 21대 총선 나간다고 때려치고 국회의원 하다 이재명 정부에 다시 온겁니다 ㅎㅎ  첫 임기동안 수익률은  -0.23%, 9% 10% 였습니다 ㅎㅎ 좋은 수익률이긴 하나 작년 역대 최고 수익율은 윤정부에서 임명한 김태현 이사장 일때 였습니다..  그리고 개인적으로 수익율은 이사장이랑은 큰 상관 없다고 생각합니다....😅",부정,국민연금 조직,이사장 비판
정신이 살아있는 분입니다...이런  분을 차기대통령으로 세워야 국격이 높아집니다...,긍정,기타,응원
투자비결이있으면 돈 모자라단소리가나왔겠냐 그냥 증시가좋으니까그런거지,부정,기타,비판
"3:52 그러면서 환율방어에 기금을 쓰세요? 정치인이 무슨 기금운용을 이야기한다고ㅋ 실무자들이 보면 웃어요 민주당 아저씨

17:17 그리고 이걸 거부한다고요
자본주의사회에서 재분배를 통해 사회질서를 확립한다? 낸만큼 받아야하는데 내지 못하는 사람에게 기회를 줘야지 왜 돈을 쥐어줍니까? 그러니 배급사회라고 이야기하는데 아직도 2030세대가 이야기하는걸 전혀 모르네",부정,정부개입·거버넌스,환율방어
"국민연금을 운영하는 곳은 정부이다
왜 국민연금이 올 1월에 회의를 가진 후 삼전과 SK에만 몰빵 했을까?
이재명 대통령은 코스피 5000을 말했었기에 이 목적을 이루기 위해서는 두 축을 띄울 수밖에 없었을 것
마침 반도체 슈퍼사이클이 맞아 떨어지면서 더욱 공격적으로 투자 지시를 했을 듯
그러니까 이번 투자에 대한 비밀공개를 전면 금지 시키고 4년 후에 들여다볼 수 있게 처리한 것 같음
두 기업에 몰빵한 것은 분명 위험성이 따르지만 우리나라가 구조적으로 완전히 선진국으로 인정받게 되는 2028년과 외국 자금이 의무적으로 50조원 이상을 우리나라에 투자해야 하는 2029년까지는 안도해도 될 듯
이 시기 이후로 두 기업의 주가는 더욱 폭등할 거임. 당연히 코스피도",부정,정부개입·거버넌스,투자지시
든든해요❤❤❤,긍정,국민연금 조직,응원
ㅋㅋㅋ 국민연금으로 주식쳐하고 장난싸고있네,부정,기타,조롱
내곁에국민연금 어플맨밑에 기금현황 써있네요 조성 1979조 지출438조 적립금 1540조 대단하네요 든든하다,긍정,운용성과,기금현황
"국민연금을 운영하는 곳은 정부이다
왜 국민연금이 올 1월에 회의를 가진 후 삼전과 SK에만 몰빵 했을까?
이재명 대통령은 코스피 5000을 말했었기에 이 목적을 이루기 위해서는 두 축을 띄울 수밖에 없었을 것
마침 반도체 슈퍼사이클이 맞아 떨어지면서 더욱 공격적으로 투자 지시를 했을 듯
그러니까 이번 투자에 대한 비밀공개를 전면 금지 시키고 4년 후에 들여다볼 수 있게 처리한 것 같음
두 기업에 몰빵한 것은 분명 위험성이 따르지만 우리나라가 구조적으로 완전히 선진국으로 인정받게 되는 2028년과 외국 자금이 의무적으로 50조원 이상을 우리나라에 투자해야 하는 2029년까지는 안도해도 될 듯
이 시기 이후로 두 기업의 주가는 더욱 폭등할 거임. 당연히 코스피도
국민연금이 더욱 선진화되기 위해서는 정부로부터 완전히 벗어나야 함",부정,정부개입·거버넌스,투자지시
"이 분, 25년도 취임함. 국민연금이 잘하고 있는 건 이 분 덕은 아님. 업계 경험을 가진것도 아니고 그냥 정치인임. 찾아보시길. 디스하려고 하는 게 아니라, 훌륭한 안목과 장기적 비전 탁월한 분석력울 가진 운용역들 덕뷴에 국민연연금이 탄탄해진 거임. 이 자리에 이 분이 나온 것도 나는 이상하다고 생각함. 왜 운용 책임자가 안나오고?",부정,국민연금 조직,이사장 비판
"기초연금 폐지하고
그 예산을 국민연금에 투자해라
1년에 25조면 
20년뒤에 1000조
30년뒤에 2800조 찍을수 있을텐데
그때되면 국민연금 자산 절대 줄어들일 없을거고
남아도는 국민연금으로 
기초연금 100만원씩 뿌려도 유지될거다 

제발 지금이라도 60세70세80세 연금 수급률 5~10%삭감하고
기초연금 같은 쓸데없는짓하지말고
아니 월300이 30년동안 국민연금 투자해서
월 130수령예정이라는데

아무것도 안한사람 월40이 말이되냐? 

제발 지금 국민연금자산 천조넘을때 최대한 지원해서
나중에 청년들이독박쓰지않게좀 만들어라",부정,연금제도,기초연금 폐지
국민연금 수급자는 아니지만 국민연금에 대한 자부심이 생기는 영상이네요~,긍정,기타,자부심
잘봤습니다...참 훌륭하신분들이 이런 좋은말씀해주신거에 감사드립니다.,긍정,기타,감사
"국민연금을 운영하는 곳은 정부
왜 국민연금이 올 1월에 회의를 가진 후 삼전과 SK에만 몰빵했을까?
이재명 대통령은 코스피 5000을 말했었기에 이 목적을 이루기 위해서는 두 축을 띄울 수밖에 없었을 것
마침 반도체 슈퍼사이클이 맞아 떨어지면서 더욱 공격적으로 투자 지시를 했을 듯
그러니까 이번 투자에 대한 비밀공개를 전면 금지시키고 4년 후에 들여다볼 수 있게 처리한 것 같음
두 기업에 몰빵한 것은 분명 위험성이 따르지만 우리나라가 구조적으로 완전히 선진국으로 인정받게 되는 2028년과 외국 자금이 의무적으로 50조원 이상을 우리나라에 투자해야 하는 2029년까지는 안도해도 될 듯
이 시기 이후로 두 기업의 주가는 더욱 폭등할 거임. 당연히 코스피도
국민연금이 더욱 선진화되기 위해서는 정부로부터 완전히 벗어나야 함",부정,정부개입·거버넌스,투자 비밀
대단 하시네,긍정,기타,응원
이분도 몰빵(?) 이라는 표현을 쓰는군요 ㅎㅎ,중립,기타,일반 잡담
이사람 멋지네.  감사합니다.,긍정,국민연금 조직,칭찬
그래서 그돈으로 중국인 케리어들어주는거군요,부정,기타,비판
아 진짜 국민연금 etf 상품 너무 탐난다 😂,긍정,투자전략,ETF
개인 주식을 못 하는 데 국민연금으로 번 돈에 대한 성과급이 없는 게 좀 그렇네요. 물론 돈 벌려고 공무원 하신 건 아니지만 그래도 5년치 벌걸 1년 만에 벌었는 데 성과급이 하나도 없다니 제가 다 아쉬워요~~😢 예전엔 국민연금이 월급 일부분을 떼가는 게 아쉬웠는 데 요즘엔 국민연금이 샀다고 하면 한번 더 들여다보고 그럽니다ㅋㅋ 심지어 국민연금 실시간 투자비율을 알려주는 사이트도 나왔어요! 건강히 공무 수행하셨으면 좋겠습니다 응원할게요 ㅎㅎ,중립,운용성과,성과급
노후대책의 마지막 보루인데 국민연금이 잘 지켜주고 키워줘서 너무 고맙고 감사합니다❤,긍정,연금제도,감사
"낸 것보다 더 받는데 언제까지 받을까 말장난이지 
받을 사람만 받고 고결 되겠지",부정,연금제도,고갈
국민연금 열심히 내고 노후 안정하자!!👍👍👍,긍정,연금제도,안정
불안했는데 믿음이가서 국민연금 다시 시작할 생각이예요~,긍정,연금제도,신뢰
국민연금 임직원분들 개멋집니다 고마워요,긍정,국민연금 조직,칭찬
생각보다 연봉 낮으십니다 ㆍ노고비례가 아니네요ㅠ,부정,국민연금 조직,연봉
이 분 국민들보고 통장에 꽁쳐둔 돈 자기한테 돈 맡기면 3배로 불려주겠다는 그분이네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,부정,국민연금 조직,비판
감사와 존경을 드립니다.. 엄청난 일을 하셨습니다.❤,긍정,국민연금 조직,존경
국민연금 etf 좋습니다😅🎉🎉🎉,긍정,투자전략,ETF
수익소식듣고. 멈춰있던 연금 다시 시작했네요!! 2000 더 넣음  예상수급 월80이라는데 평생받는거 3년만 받음 본전이니 하려구요,긍정,운용성과,수익
이재명과 가까이 하지 않는 길이 국민연금 지키는 길이라요.. 그분을 가까이 하면 말년에 화를 입을 수 있음을 명심하기 바랍니다.. 고환율 환햇지 같은 사건에 말려들지 마시기 바랍니다.. 늘 정권과는 중립성을 지키고 오로지 국민과 함께 하시기 바랍니다..,중립,정부개입·거버넌스,중립성
정부야 이사장님 하고싶어하시는대로 다 해줘라,부정,국민연금 조직,정부개입
"국민연금 잘 운영해주세요~~~~~^^
진짜 대한민국~~~~~",긍정,기타,응원
저렇게 책임감 있으신 분들이 구성된 조직이면 한 번 믿어보겠습니다,긍정,국민연금 조직,신뢰
삼성보다 더 번거네 ㅋ ㅋ ㅋ ㅋ,부정,기타,비판
약간 슈카가 맨날 얘기하는 이야기를 직접 듣는 느낌 ㅋㅋ 연봉 얘기하시니까 갑자기 이사장님께 감사해지네요 ㅋㅋ 근데 기금 늘릴수 있도록 어릴때부터 국민연금 계속 내는걸 말씀하시네요 복리가 정말정말 중요하네요. 아버지 고향 친구분도 65세 넘으셨는데 국민연금 가입안하셔서 자식들한테 용돈 달라고 하신다고 하네요. 자녀들도 부모님이 국민연금 받으시는게 정말 좋은거네요,긍정,연금제도,국민연금
아니 자기가 운용했나? 왜 지가 성과급을 받아야 하냐 지금도 많은데,부정,운용성과,성과급
100억은 받아야한다   성과위주로 가는것이 자본주의다❤,긍정,운용성과,성과급
"그럼 국민연금을 선택적으로 내게 해줘라

난 낸다고 동의 한 적이 없다고",부정,연금제도,선택적 납부
"청년,청소년이 희생하고 6070년대생이 이득보는 국민연금",부정,연금제도,세대형평
1500조를굴리는데 연봉이 1.5억이라니,부정,국민연금 조직,임직원
저 두 사람의 앉아있는 바지 길이를 보며 왜 양복바지의 길이는 저래야지? 그닥 이쁘지도 않고 뭔가 이상한데! 누군가 저 모습에도 혁명을 꺼내들어 내비쳐줄까?,중립,기타,일반 잡담
"한국은 외국인이 낸 국민연금 그대로 다 돌려주는데 , 일본은 외국인이 낸 국민연금을 돌려줄때 세금을 떼고 돌려줘서 충격먹었어요",중립,기타,정보 공유
전주에 있으면 뭐해 전주 시민으로써 해택이 전혀 없는데,부정,지역발전,지역경제
국민연금주? 뭐 이런 거 만들어서 국민들 노후안정자금 만드는 건 어때? 즉 국민연금이나 정부나 고위공무원들만이 아닌 일반 국민들이 진짜 걱정없이 누리며 잘살게 부가 쏠리도록 해보는 건 어때?,긍정,연금제도,제도 개혁
폭락째 우리가 탈출 할수 있게 받아주신 분들,긍정,기타,응원
운인지 실력인지..,중립,기타,일반 잡담
저 이제 9년 남았어요.  열심히 냈으니 꼭 주세요.🙏,긍정,연금제도,지급 요청
"조기국고투입
긍정적으로 검토하고 실행했으면 좋겠습니다",긍정,연금제도,국고투입
수고 많으십니다 고맙습니다,긍정,기타,감사
"많이 낸다고 많이 받는구조는 아니고, 외국인도 넣어 끼워서 재분배해주는군요. 저는 좀 빼주세요. 전 작년 수익률 30프로였습니다.",부정,연금제도,재분배
이런분을 이제야 알게 되다니ㅠㅠ,긍정,기타,응원
엉뚱한 곳에 쓰이지 않았으면 좋겠습니다,부정,연금제도,용도
"많이 낸다고 많이 받는구조는 아니고, 외국인도 넣어 끼워서 재분배해주는군요. 저는 좀 빼주세요.",부정,연금제도,재분배
